stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding,location_type,parent_station,level_id
PD1641,,PD1641-Parada 7 / (M) Macul,-33.50917799933734,-70.58957699977343,,0,,,
PE158,,PE158-Parada / Colegio José A. Lecaros,-33.514682019609836,-70.59252538242626,,0,,,
PE159,,PE159-Parada / Fiscalía La Florida,-33.51655611493315,-70.59418788408911,,0,,,
PE160,,PE160-Parada 3 / (M) Bellavista de La Florida,-33.52141400078406,-70.59770299416778,,0,,,
PE161,,PE161-Av. Américo Vespucio / esq. Pasaje 1,-33.52494600386622,-70.60174199697744,,0,,,
PE162,,PE162-Av. Américo Vespucio / esq. G. de Alderete,-33.52783900129254,-70.60370300387817,,0,,,
PE163,,PE163-Parada / (M) Santa Julia,-33.53075499540604,-70.6056050008991,,0,,,
PE164,,PE164-Av. Américo Vespucio / esq. Luis de Valdivia,-33.53363699677901,-70.60749499923723,,0,,,
PE165,,PE165-Punta Arenas / esq. Av. San Gregorio,-33.537053832881384,-70.61022788376557,,0,,,
PE166,,PE166-Av. Américo Vespucio / esq. 7 Oriente,-33.53974744497533,-70.61171286110007,,0,,,
PE167,,PE167-Parada 2 / (M) La Granja,-33.54085300088391,-70.61572299682234,,0,,,
PE168,,PE168-Av. Américo Vespucio / esq. La Serena,-33.54137999597971,-70.61927700419085,,0,,,
PE169,,PE169-Av. Américo Vespucio / esq. El Tabo,-33.5419029975277,-70.62305899943333,,0,,,
PE170,,PE170-Av. Américo Vespucio / esq. Laguna Blanca,-33.54211100059332,-70.62462799520222,,0,,,
PE171,,PE171-Av. Américo Vespucio / esq. Av. Santa Rosa,-33.54268599508,-70.62913200376384,,0,,,
PE172,,PE172-Parada 1 / (M) Santa Rosa,-33.5422316387307,-70.63316496012065,,0,,,
PG197,,PG197-Av. Américo Vespucio / esq. Independencia,-33.54168699995746,-70.6380709988162,,0,,,
PG198,,PG198-Parada 2 / (M) San Ramón,-33.5410256244519,-70.64278485607669,,0,,,
PG199,,PG199-Av. Américo Vespucio / esq. Aníbal Zañartu,-33.54049200381796,-70.6465359989487,,0,,,
PG200,,PG200-Av. Américo Vespucio / esq. La Granja,-33.53985615003248,-70.6508308866723,,0,,,
PG201,,PG201-Av. Américo Vespucio / esq. Blas Vial,-33.539076995576096,-70.65500899654202,,0,,,
PG202,,PG202-Av. Américo Vespucio / esq. Uno Oriente,-33.53823300004418,-70.65986900170087,,0,,,
PG203,,PG203-Parada 3 / (M) La Cisterna,-33.53738744235317,-70.6631469726041,,0,,,
PG204,,PG204-Parada 6 / (M) La Cisterna,-33.53974402558007,-70.66499805235634,,0,,,
