level_id,level_index,level_name
AG:L0,0,Nivel 1 – Acceso / Calle
AG:L1,1,Nivel 2 – Boletería
AG:L2,2,Nivel 3 – Andenes
AH:L0,0,Nivel 0 – Calle
AH:L-1,-1,Nivel -1 – Boletería
AH:L-2,-2,Nivel -2 – Andenes
AL:L0,0,Nivel 0 – Calle
AL:L-1,-1,Nivel -1 – Boletería
AL:L-2,-2,Nivel -2 – Andenes
AN-NA:L0,0,Calle
AN:L0,0,Boleteria Linea 2
AN:L-1,-1,Anden Linea 2
NA:L-1,-1,Boleteria Linea 5
NA:L-2,-2,Anden Linea 5
AV:L0,0,Calle
AV:L-1,-1,Descanso
AV:L-2,-2,Boleteria
AV:L-3,-3,Andén
BA-BQ:L0,0,Nivel 0 - Calle
BA-BQ:L-1,-1,Nivel -1  - Boletería
BA-BQ:L-2,-2,Nivel -2  - Andén( L1)
BA-BQ:L-3,-3,Nivel -3 - Intermedio
BA-BQ:L-4,-4,Nivel -4 - Andén (L5)
BE:L0,0,Nivel 0 – Acceso / Calle
BE:L-1,-1,Nivel -1 – Boletería / Servicios
BE:L-2,-2,Nivel -2 – Andenes L5
BIL:L0,0,Nivel 0 - Calle
BIL:L-1,-1,Nivel -1 - Mesanina
BIL:L-2,-2,Nivel -2 - Andén
BIO:L0,0,Nivel 0 - Calle
BIO:L-1,-1,Nivel -1 -Servicios
BIO:L-2,-2,Nivel -2-  Intermedio (Puente)
BIO:L-3,-3,Nivel -3 - Andén
BL:L1,0,Nivel 1 – Calle y Boletería
BL:L-1,-1,Nivel -1 – Intermedio 1
BL:L-2,-2,Nivel -2 – Intermedio 2
BL:L-3,-3,Nivel -3 – Cambio de Andén
BL:L-4,-4,Nivel -4 – Andenes
BR:L0,0,Nivel 0 – Acceso / Calle
BR:L-1,-1,Nivel -1 – Boletería / Servicios
BR:L-2,-2,Nivel -2 – Intermedio 1
BR:L-3,-3,Nivel -3 – Cambio de Andén
BR:L-4,-4,Nivel -4 – Andenes
CA-PCA:L0,0,Nivel 0 – Calle
CA-PCA:L-1,-1,Nivel -1 – Boleteria
CA:L-2,-2,Nivel -2 – Anden linea 2
CA-PCA:L-3,-3,Nivel -3 – Combinacion linea 3
PCA:L-4,-4,Nivel -4 – Cambio de anden l3
PCA:L-5,-5,Nivel -5 – Andén línea 3
CAR:L0,0,Nivel 0 – Calle / Acceso
CAR:L-1,-1,Nivel -1 – Boletería / Distribución
CAR:L-2,-2,Nivel -2 – Intermedio
CAR:L-3,-3,Nivel -3 – Andenes
CB:L0,0,Calle
CB:L-1,-1,Boleteria
CB:L-2,-2,Anden
CCH:L0,0,Nivel 0 – Calle
CCH:L-1,-1,Nivel -1 – Boletería / Distribución
CCH:L-2,-2,Nivel -2 – Intermedio Andenes
CCH:L-3,-3,Nivel -3 – Andenes
CE:L0,0,Calle
CE:L-1,-1,Mesanina
CE:L-2,-2,Andén
CER:L0,0,Nivel 0 - Calle
CER:L-1,-1,Nivel -1 - Boletería
CER:L-2,-2,Nivel -2 Piso intermedio (puente)
CER:L-3,-3,Nivel -3 - Andén
CH-UCH:L0,0,Nivel 0 - Calle
CH-UCH:L-1,-1,Nivel -1 - Intermedio( Zona no Paga)
CH-UCH:L-2,-2,Nivel -2- Boletería
