pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width
AG:PAS_101A,AG:A,AG:ASC03_TOP,1,1,2.0,1,,,
AG:PAS_101B,AG:A,AG:ESCN01_TOP,1,1,2.0,1,,,
AG:PAS_101C,AG:A,AG:ESCN02_TOP,1,1,2.0,1,,,
AG:PAS_134A,AG:ASC01_BOT,AG:ASC02_TOP,1,1,8.0,5,,,
AG:PATHWAY_00,AG:ASC01_INT,AG:ASC01_BOT,5,1,,27,,,
AG:PAS_ASC01_INT,AG:ASC01_INT,AG:L5-V1_BA_01,1,1,15.0,10,,,
AG:PATHWAY_01,AG:ASC01_TOP,AG:ASC01_INT,5,1,,27,,,
AG:PAS_ASC02_BOT,AG:ASC02_BOT,AG:L5-V2_BA_01,1,1,15.0,10,,,
AG:ASC02,AG:ASC02_TOP,AG:ASC02_BOT,5,1,,27,,,
AG:PAS_112A,AG:ASC03_BOT,AG:ZNP,1,1,22.0,15,,,
AG:ASC03,AG:ASC03_TOP,AG:ASC03_BOT,5,1,,27,,,
AG:PAS_112B,AG:ESCN01_BOT,AG:ZNP,1,1,22.0,15,,,
AG:ESCN01,AG:ESCN01_TOP,AG:ESCN01_BOT,2,1,,5,-17,,
AG:PAS_112C,AG:ESCN02_BOT,AG:ZNP,1,1,22.0,15,,,
AG:ESCN02,AG:ESCN02_TOP,AG:ESCN02_BOT,2,1,,5,-17,,
AG:PAS_ESCN_V1_BOT,AG:ESCN_V1_BOT,AG:L5-V1_BA_01,1,1,16.0,11,,,
AG:PDS_01,AG:ESCN_V1_BOT_S,AG:ZNP,7,0,2.0,5,,,
AG:PAS_ESCN_V1_TOP_S,AG:ESCN_V1_TOP_S,AG:L5-V1_BA_01,1,1,16.0,11,,,
AG:PAS_ESCN_V2_BOT,AG:ESCN_V2_BOT,AG:L5-V2_BA_01,1,1,16.0,11,,,
AG:PDS_02,AG:ESCN_V2_BOT_S,AG:ZNP,7,0,2.0,5,,,
AG:PAS_ESCN_V2_TOP_S,AG:ESCN_V2_TOP_S,AG:L5-V2_BA_01,1,1,16.0,11,,,
AG:ESCN_V1,AG:ESCN_V1_TOP,AG:ESCN_V1_BOT,2,1,,10,-34,,
AG:ESCN_V1_S,AG:ESCN_V1_TOP_S,AG:ESCN_V1_BOT_S,2,1,,10,-34,,
AG:ESCN_V2,AG:ESCN_V2_TOP,AG:ESCN_V2_BOT,2,1,,10,-34,,
AG:ESCN_V2_S,AG:ESCN_V2_TOP_S,AG:ESCN_V2_BOT_S,2,1,,10,-34,,
AG:BATERIA_01,AG:ZNP,AG:ZP,6,0,2.0,4,,,
AG:PAS_113A,AG:ZP,AG:ASC01_TOP,1,1,8.0,5,,,
AG:PAS_114A,AG:ZP,AG:ESCN_V1_TOP,1,1,6.0,4,,,
AG:PAS_114B,AG:ZP,AG:ESCN_V2_TOP,1,1,6.0,4,,,
AH:PAS_20,AH:L1-V1_BA_01,AH:L1-V1_BA_02,1,1,45.0,32,,,3.0
AH:PAS_21,AH:L1-V1_BA_02,AH:L1-V1_BA_03,1,1,45.0,32,,,3.0
AH:PAS_22,AH:L1-V2_BA_01,AH:L1-V2_BA_02,1,1,45.0,32,,,3.0
AH:PAS_23,AH:L1-V2_BA_02,AH:L1-V2_BA_03,1,1,45.0,32,,,3.0
AH:PAS_ESCN_01,AH:L1-V1_BA_01,AH:ESCN_01_BOT,1,1,3.2,2,,,3.0
AH:PAS_ESCN_02,AH:L1-V2_BA_01,AH:ESCN_02_BOT,1,1,3.2,2,,,3.0
AH:PAS_ESCN_03,AH:L1-V1_BA_02,AH:ESCN_03_BOT,1,1,10.9,7,,,3.0
AH:PAS_ESCN_04,AH:L1-V2_BA_02,AH:ESCN_04_BOT,1,1,10.9,7,,,3.0
AH:PAS_ASC01,AH:L1-V1_BA_01,AH:ASC01_BOT,1,1,18.0,12,,,3.0
AH:PAS_ASC02,AH:L1-V2_BA_01,AH:ASC02_BOT,1,1,18.0,12,,,3.0
AH:ESCN_01,AH:ESCN_01_BOT,AH:ESCN_01_TOP,2,1,,6,21,,3.0
AH:ESCN_02,AH:ESCN_02_BOT,AH:ESCN_02_TOP,2,1,,6,21,,3.0
AH:ESCN_03,AH:ESCN_03_BOT,AH:ESCN_03_TOP,2,1,,6,21,,3.0
AH:ESCN_04,AH:ESCN_04_BOT,AH:ESCN_04_TOP,2,1,,6,21,,3.0
AH:ASC01,AH:ASC01_BOT,AH:ASC01_TOP,5,1,,30,,,
AH:ASC02,AH:ASC02_BOT,AH:ASC02_TOP,5,1,,30,,,
AH:PAS_01,AH:ZNP_02,AH:ZNP_01,1,1,8.0,5,,,4.0
AH:PAS_02,AH:ZNP_12,AH:ZNP_01,1,1,8.0,5,,,4.0
AH:PAS_05,AH:ZNP_03,AH:ZNP_01,1,1,8.0,5,,,4.0
AH:PAS_06,AH:ZNP_04,AH:ZNP_01,1,1,8.0,5,,,4.0
AH:PDS_01,AH:ESCN_01_TOP,AH:ZNP_03,7,0,2.0,5,,,
AH:PDS_02,AH:ESCN_02_TOP,AH:ZNP_04,7,0,2.0,5,,,
AH:PAS_03,AH:ESCN_03_TOP,AH:ZP_01,1,1,8.3,5,,,4.0
AH:PAS_04,AH:ESCN_04_TOP,AH:ZP_01,1,1,8.3,5,,,4.0
AH:PAS_07,AH:ZP_05,AH:ZP_03,1,1,6.5,4,,,2.0
